style,artist,picture,image
Rococo,thomas-gainsborough,thomas-pennant-1776.jpg,downloaded_images\thomas-pennant-1776.jpg
Impressionism,pierre-auguste-renoir,the-seine-at-argenteuil-1888-1.jpg,downloaded_images\the-seine-at-argenteuil-1888-1.jpg
Color_Field_Painting,anne-appleby,wisteria-2001.jpg,downloaded_images\wisteria-2001.jpg
Symbolism,nicholas-roerich,temple-1931.jpg,downloaded_images\temple-1931.jpg
Pop_Art,patrick-procktor,mount-abu-rowli-mountains-rajastan-from-the-india-mother-suite-of-7-aquatints-1970.jpg,downloaded_images\mount-abu-rowli-mountains-rajastan-from-the-india-mother-suite-of-7-aquatints-1970.jpg
Pop_Art,robert-silvers,christ-ii.jpg,downloaded_images\christ-ii.jpg
Realism,pyotr-konchalovsky,still-life-peonies-in-a-porcelain-vase-1949.jpg,downloaded_images\still-life-peonies-in-a-porcelain-vase-1949.jpg
Art_Nouveau_Modern,aubrey-beardsley,merlin-and-nimue-1894.jpg,downloaded_images\merlin-and-nimue-1894.jpg
Realism,vasily-polenov,pond-1880.jpg,downloaded_images\pond-1880.jpg
Minimalism,pat-lipsky,in-memoriam-c-g-1999.jpg,downloaded_images\in-memoriam-c-g-1999.jpg
Realism,ilya-repin,nun-1887.jpg,downloaded_images\nun-1887.jpg
Impressionism,pierre-auguste-renoir,summer-1875.jpg,downloaded_images\summer-1875.jpg
Rococo,maurice-quentin-de-la-tour,study-for-portrait-of-unknown-man-2.jpg,downloaded_images\study-for-portrait-of-unknown-man-2.jpg
Contemporary_Realism,jamie-wyeth,kent-house-1971.jpg,downloaded_images\kent-house-1971.jpg
Northern_Renaissance,lucas-cranach-the-elder,the-judgement-of-paris-1540.jpg,downloaded_images\the-judgement-of-paris-1540.jpg
Post_Impressionism,david-burliuk,nike-1959.jpg,downloaded_images\nike-1959.jpg
Art_Nouveau_Modern,filipp-malyavin,a-peasant-women-1904.jpg,downloaded_images\a-peasant-women-1904.jpg
Art_Nouveau_Modern,raphael-kirchner,cigarettes-of-the-world-1900.jpg,downloaded_images\cigarettes-of-the-world-1900.jpg
Impressionism,valentin-serov,portrait-of-the-poet-konstantin-balmont-1905.jpg,downloaded_images\portrait-of-the-poet-konstantin-balmont-1905.jpg
Symbolism,george-frederick-watts,study-of-idle-child-of-fancy.jpg,downloaded_images\study-of-idle-child-of-fancy.jpg
Romanticism,george-frederick-watts,portrait-of-a-lady-possibly-julia-jackson(1).jpg,downloaded_images\portrait-of-a-lady-possibly-julia-jackson(1).jpg
Impressionism,john-henry-twachtman,the-winding-brook-1890.jpg,downloaded_images\the-winding-brook-1890.jpg
Realism,ilya-repin,portrait-of-n-i-repina-1896.jpg,downloaded_images\portrait-of-n-i-repina-1896.jpg
Expressionism,arthur-segal,eliyahu.jpg,downloaded_images\eliyahu.jpg
Impressionism,gustave-caillebotte,the-park-at-yerres.jpg,downloaded_images\the-park-at-yerres.jpg
Post_Impressionism,pablo-picasso,the-fourteenth-of-july-1901.jpg,downloaded_images\the-fourteenth-of-july-1901.jpg
Art_Nouveau_Modern,edmund-dulac,the-woman-he-could-not-leave-stealers-of-light-by-the-queen-of-romania.jpg,downloaded_images\the-woman-he-could-not-leave-stealers-of-light-by-the-queen-of-romania.jpg
Naive_Art_Primitivism,marc-chagall,joshua-prostrates-himself-before-the-angel-sword-bearer-chief-of-the-armies-of-the-lord-joshua.jpg,downloaded_images\joshua-prostrates-himself-before-the-angel-sword-bearer-chief-of-the-armies-of-the-lord-joshua.jpg
Realism,ivan-shishkin,trees-1.jpg,downloaded_images\trees-1.jpg
Mannerism_Late_Renaissance,titian,venus-and-cupid.jpg,downloaded_images\venus-and-cupid.jpg
Realism,julius-leblanc-stewart,portrait-of-mrs-francis-stanton-blake-1908(1).jpg,downloaded_images\portrait-of-mrs-francis-stanton-blake-1908(1).jpg
Art_Nouveau_Modern,raphael-kirchner,behind-the-scenes-1900-2.jpg,downloaded_images\behind-the-scenes-1900-2.jpg
Symbolism,nicholas-roerich,himalayas-59.jpg,downloaded_images\himalayas-59.jpg
Post_Impressionism,moise-kisling,port-at-saint-tropez-1918.jpg,downloaded_images\port-at-saint-tropez-1918.jpg
Realism,ion-andreescu,the-winter.jpg,downloaded_images\the-winter.jpg
Realism,n.c.-wyeth,treasure-island-scribner.jpg,downloaded_images\treasure-island-scribner.jpg
Expressionism,nicolae-tonitza,scherzzo.jpg,downloaded_images\scherzzo.jpg
Cubism,pablo-picasso,harlequin-1918.jpg,downloaded_images\harlequin-1918.jpg
Contemporary_Realism,eric-fischl,the-clemente-family.jpg,downloaded_images\the-clemente-family.jpg
Baroque,adriaen-van-de-venne,a-game-of-handball-with-country-palace-in-background.jpg,downloaded_images\a-game-of-handball-with-country-palace-in-background.jpg
Realism,vasily-vereshchagin,dutar-player-1870.jpg,downloaded_images\dutar-player-1870.jpg
Abstract_Expressionism,sam-gilliam,coffee-thyme-1980.jpg,downloaded_images\coffee-thyme-1980.jpg
Realism,thomas-eakins,portrait-of-asburyh-w-lee-1905.jpg,downloaded_images\portrait-of-asburyh-w-lee-1905.jpg
Expressionism,theo-van-doesburg,don-juan-1910.jpg,downloaded_images\don-juan-1910.jpg
Post_Impressionism,pierre-bonnard,a-spring-landscape.jpg,downloaded_images\a-spring-landscape.jpg
Realism,vincent-van-gogh,peat-diggers-in-the-dunes-1883-1.jpg,downloaded_images\peat-diggers-in-the-dunes-1883-1.jpg
Romanticism,gustave-dore,daniel-s-vision-of-the-four-beasts.jpg,downloaded_images\daniel-s-vision-of-the-four-beasts.jpg
Impressionism,willard-metcalf,on-the-suffolk-coast.jpg,downloaded_images\on-the-suffolk-coast.jpg
Impressionism,t.-c.-steele,talbott-place.jpg,downloaded_images\talbott-place.jpg
Impressionism,pierre-auguste-renoir,bather-seated-on-a-rock-1892.jpg,downloaded_images\bather-seated-on-a-rock-1892.jpg
Realism,nikolay-bogdanov-belsky,young-host.jpg,downloaded_images\young-host.jpg
Expressionism,pablo-picasso,minotaur-caressing-a-sleeping-woman.jpg,downloaded_images\minotaur-caressing-a-sleeping-woman.jpg
Naive_Art_Primitivism,niko-pirosmani,sitting-yellow-lion.jpg,downloaded_images\sitting-yellow-lion.jpg
Abstract_Expressionism,sam-francis,untitled-exp-sf-58-08-82-1982.jpg,downloaded_images\untitled-exp-sf-58-08-82-1982.jpg
Post_Impressionism,maurice-denis,afternoon-in-the-woods.jpg,downloaded_images\afternoon-in-the-woods.jpg
Baroque,francesco-guardi,the-piazza-san-marco-towards-the-basilica-1765.jpg,downloaded_images\the-piazza-san-marco-towards-the-basilica-1765.jpg
Romanticism,vasily-tropinin,portrait-of-n-n-rayevsky-jr-1842.jpg,downloaded_images\portrait-of-n-n-rayevsky-jr-1842.jpg
Post_Impressionism,henri-de-toulouse-lautrec,gabrielle-the-dancer-1890.jpg,downloaded_images\gabrielle-the-dancer-1890.jpg
Art_Nouveau_Modern,carl-larsson,in-the-corner-1894(1).jpg,downloaded_images\in-the-corner-1894(1).jpg
Romanticism,william-turner,fall-of-the-trees-yorkshire.jpg,downloaded_images\fall-of-the-trees-yorkshire.jpg
Impressionism,periklis-vyzantios,acropolis-1955.jpg,downloaded_images\acropolis-1955.jpg
Symbolism,mikalojus-ciurlionis,daybreak-i-1906.jpg,downloaded_images\daybreak-i-1906.jpg
Romanticism,jan-matejko,christianization-of-lithuania-a-d-1387-1889.jpg,downloaded_images\christianization-of-lithuania-a-d-1387-1889.jpg
Realism,nikolai-ge,bridge-in-viko.jpg,downloaded_images\bridge-in-viko.jpg
Realism,thomas-eakins,in-the-studio-unfinished-1884.jpg,downloaded_images\in-the-studio-unfinished-1884.jpg
Impressionism,walter-sickert,sketch-for-the-statue-of-duquesne-dieppe.jpg,downloaded_images\sketch-for-the-statue-of-duquesne-dieppe.jpg
Naive_Art_Primitivism,andre-bauchant,la-chute-d-eau-1929.jpg,downloaded_images\la-chute-d-eau-1929.jpg
Symbolism,felix-vallotton,cloud-at-romanel-1900.jpg,downloaded_images\cloud-at-romanel-1900.jpg
Art_Nouveau_Modern,felix-vallotton,portrait-of-belgian-symbolist-poet-max-elskamp-1898.jpg,downloaded_images\portrait-of-belgian-symbolist-poet-max-elskamp-1898.jpg
Abstract_Expressionism,richard-pousette-dart,the-atom-one-world-1948.jpg,downloaded_images\the-atom-one-world-1948.jpg
Realism,vasily-polenov,the-ill-woman.jpg,downloaded_images\the-ill-woman.jpg
Expressionism,egon-schiele,house-between-trees-i-1908.jpg,downloaded_images\house-between-trees-i-1908.jpg
Romanticism,gustave-dore,don-quixote-57.jpg,downloaded_images\don-quixote-57.jpg
Art_Nouveau_Modern,egon-schiele,the-small-city-dead-city-1912.jpg,downloaded_images\the-small-city-dead-city-1912.jpg
Symbolism,arnold-bã¶cklin,fighting-on-a-bridge-1.jpg,downloaded_images\fighting-on-a-bridge-1.jpg
Impressionism,winston-churchill,goldfish-pool-at-chartwell(1).jpg,downloaded_images\goldfish-pool-at-chartwell(1).jpg
Expressionism,jules-pascin,woman-lying-down-with-her-arms-raised-1907.jpg,downloaded_images\woman-lying-down-with-her-arms-raised-1907.jpg
Expressionism,tivadar-kosztka-csontvary,valley-of-great-tarpatak-in-the-high-tatras-1905.jpg,downloaded_images\valley-of-great-tarpatak-in-the-high-tatras-1905.jpg
Abstract_Expressionism,joan-snyder,sigh-2006.jpg,downloaded_images\sigh-2006.jpg
Expressionism,johannes-sveinsson-kjarval,land-and-air-1965.jpg,downloaded_images\land-and-air-1965.jpg
Art_Nouveau_Modern,boris-kustodiev,merchant-wedding-1917.jpg,downloaded_images\merchant-wedding-1917.jpg
High_Renaissance,leonardo-da-vinci,coition-of-a-hemisected-man-and-woman.jpg,downloaded_images\coition-of-a-hemisected-man-and-woman.jpg
Romanticism,ivan-aivazovsky,creation-of-the-world-1864.jpg,downloaded_images\creation-of-the-world-1864.jpg
Northern_Renaissance,albrecht-durer,christ-washing-peter-s-feet-1511.jpg,downloaded_images\christ-washing-peter-s-feet-1511.jpg
Color_Field_Painting,ad-reinhardt,abstract-painting-1957.jpg,downloaded_images\abstract-painting-1957.jpg
Color_Field_Painting,morris-louis,purple-fill-1962.jpg,downloaded_images\purple-fill-1962.jpg
Baroque,anthony-van-dyck,deposition-1634.jpg,downloaded_images\deposition-1634.jpg
Impressionism,mary-cassatt,portrait-of-a-young-girl-simone.jpg,downloaded_images\portrait-of-a-young-girl-simone.jpg
Symbolism,nicholas-roerich,tibet-1943.jpg,downloaded_images\tibet-1943.jpg
Impressionism,giovanni-boldini,portrait-of-madame-gabrielle-rejane.jpg,downloaded_images\portrait-of-madame-gabrielle-rejane.jpg
Symbolism,george-frederick-watts,energy(1).jpg,downloaded_images\energy(1).jpg
Impressionism,nikolay-bogdanov-belsky,young-musicians-young-musician.jpg,downloaded_images\young-musicians-young-musician.jpg
Romanticism,orest-kiprensky,putto-with-a-globe.jpg,downloaded_images\putto-with-a-globe.jpg
Realism,theodore-rousseau,a-hilly-landscape-in-auvergne-1831.jpg,downloaded_images\a-hilly-landscape-in-auvergne-1831.jpg
Post_Impressionism,pierre-bonnard,the-almond-tree-in-blossom.jpg,downloaded_images\the-almond-tree-in-blossom.jpg
Early_Renaissance,benozzo-gozzoli,st-nicholas-of-bari-1465.jpg,downloaded_images\st-nicholas-of-bari-1465.jpg
Impressionism,claude-monet,the-moreno-garden-at-bordighera.jpg,downloaded_images\the-moreno-garden-at-bordighera.jpg
Rococo,maurice-quentin-de-la-tour,study-for-portrait-of-unknown-woman.jpg,downloaded_images\study-for-portrait-of-unknown-woman.jpg
Color_Field_Painting,gene-davis,firecracker-1968.jpg,downloaded_images\firecracker-1968.jpg
Northern_Renaissance,hans-baldung,the-erection-of-the-cross-1507.jpg,downloaded_images\the-erection-of-the-cross-1507.jpg
Romanticism,edward-burne-jones,the-garden-of-the-heserides-1877.jpg,downloaded_images\the-garden-of-the-heserides-1877.jpg
Art_Nouveau_Modern,thomas-theodor-heine,poster-advertising-marcel-pr-vost-s-novel-les-demi-vierges-pan-magazine-1896.jpg,downloaded_images\poster-advertising-marcel-pr-vost-s-novel-les-demi-vierges-pan-magazine-1896.jpg
Symbolism,zinaida-serebriakova,brittany-camara-1927.jpg,downloaded_images\brittany-camara-1927.jpg
Impressionism,gustave-caillebotte,nasturtiums.jpg,downloaded_images\nasturtiums.jpg
Romanticism,francisco-goya,correction-1799.jpg,downloaded_images\correction-1799.jpg
Post_Impressionism,maurice-prendergast,squanton-also-known-as-men-in-park-with-a-wagon-squanton.jpg,downloaded_images\squanton-also-known-as-men-in-park-with-a-wagon-squanton.jpg
Expressionism,pyotr-konchalovsky,portrait-of-zinaida-konchalovskaya-1911.jpg,downloaded_images\portrait-of-zinaida-konchalovskaya-1911.jpg
Expressionism,amedeo-modigliani,joseph-levi-1910.jpg,downloaded_images\joseph-levi-1910.jpg
Baroque,jacob-jordaens,religious-allegory-1660.jpg,downloaded_images\religious-allegory-1660.jpg
Romanticism,thomas-cole,catskill-landscape-1846.jpg,downloaded_images\catskill-landscape-1846.jpg
Fauvism,janos-mattis-teutsch,landscape-with-road-1916.jpg,downloaded_images\landscape-with-road-1916.jpg
Mannerism_Late_Renaissance,rosso-fiorentino,the-holy-family-with-the-infant-saint-john-the-baptist-1521.jpg,downloaded_images\the-holy-family-with-the-infant-saint-john-the-baptist-1521.jpg
Post_Impressionism,paul-gauguin,vase-of-flowers-1886.jpg,downloaded_images\vase-of-flowers-1886.jpg
Symbolism,odilon-redon,portrait-of-madame-redon-in-profile.jpg,downloaded_images\portrait-of-madame-redon-in-profile.jpg
Northern_Renaissance,albrecht-durer,young-couple-threatened-by-death-promenade.jpg,downloaded_images\young-couple-threatened-by-death-promenade.jpg
Baroque,jan-steen,court.jpg,downloaded_images\court.jpg
Impressionism,claude-monet,windmill-at-zaandam-1.jpg,downloaded_images\windmill-at-zaandam-1.jpg
Art_Nouveau_Modern,edmund-dulac,the-pearl-of-the-serpent-from-the-kingdom-of-the-pearl.jpg,downloaded_images\the-pearl-of-the-serpent-from-the-kingdom-of-the-pearl.jpg
Post_Impressionism,vincent-van-gogh,entrance-gate-to-a-farm-with-haystacks-1888(1).jpg,downloaded_images\entrance-gate-to-a-farm-with-haystacks-1888(1).jpg
High_Renaissance,andrea-mantegna,study-for-a-flagellation-1506.jpg,downloaded_images\study-for-a-flagellation-1506.jpg
Naive_Art_Primitivism,marc-chagall,rebecca-gives-drink-to-the-servant-of-abraham-which-recognizes-the-bride-destined-by-god-to.jpg,downloaded_images\rebecca-gives-drink-to-the-servant-of-abraham-which-recognizes-the-bride-destined-by-god-to.jpg
Post_Impressionism,viorel-marginean,winter-at-cenade-1987.jpg,downloaded_images\winter-at-cenade-1987.jpg
Impressionism,claude-monet,coming-into-port-goulphar-belle-ile.jpg,downloaded_images\coming-into-port-goulphar-belle-ile.jpg
Baroque,aleksey-antropov,portrait-of-a-mistress-agrippina-leontyevna-apraksina.jpg,downloaded_images\portrait-of-a-mistress-agrippina-leontyevna-apraksina.jpg
Expressionism,henri-matisse,young-girl-in-a-persian-dress-1942.jpg,downloaded_images\young-girl-in-a-persian-dress-1942.jpg
Realism,edouard-manet,still-life-with-brioche.jpg,downloaded_images\still-life-with-brioche.jpg
Realism,fernand-khnopff,listening-to-schumann-1883.jpg,downloaded_images\listening-to-schumann-1883.jpg
Impressionism,pierre-auguste-renoir,serving-girl-from-duval-1874.jpg,downloaded_images\serving-girl-from-duval-1874.jpg
Art_Nouveau_Modern,koloman-moser,hermann-bahr.jpg,downloaded_images\hermann-bahr.jpg
Art_Nouveau_Modern,edmund-dulac,abysm-of-time-from-the-tempest.jpg,downloaded_images\abysm-of-time-from-the-tempest.jpg
Abstract_Expressionism,richard-diebenkorn,berkeley-no-13.jpg,downloaded_images\berkeley-no-13.jpg
Baroque,bartolome-esteban-murillo,immaculate-conception-of-the-escorial(1).jpg,downloaded_images\immaculate-conception-of-the-escorial(1).jpg
High_Renaissance,leonardo-da-vinci,view-of-a-skull.jpg,downloaded_images\view-of-a-skull.jpg
Contemporary_Realism,neil-welliver,two-figures-twice-1972.jpg,downloaded_images\two-figures-twice-1972.jpg
Romanticism,gustave-dore,the-lustful.jpg,downloaded_images\the-lustful.jpg
Mannerism_Late_Renaissance,titian,christ-carrying-the-cross.jpg,downloaded_images\christ-carrying-the-cross.jpg
Romanticism,george-frederick-watts,eveleen-tennant-later-mrs-f-w-h-myers(1).jpg,downloaded_images\eveleen-tennant-later-mrs-f-w-h-myers(1).jpg
Pop_Art,robert-silvers,george-washington.jpg,downloaded_images\george-washington.jpg
Impressionism,pierre-auguste-renoir,the-artist-s-family-1896.jpg,downloaded_images\the-artist-s-family-1896.jpg
Romanticism,andrei-ryabushkin,old-moscow-street.jpg,downloaded_images\old-moscow-street.jpg
Symbolism,kuzma-petrov-vodkin,two-girls-1915.jpg,downloaded_images\two-girls-1915.jpg
Expressionism,chronis-botsoglou,tribute-to-bouzianis-1986.jpg,downloaded_images\tribute-to-bouzianis-1986.jpg
Color_Field_Painting,ion-nicodim,unknown-title(12).jpg,downloaded_images\unknown-title(12).jpg
Post_Impressionism,stefan-luchian,anemone-flowers-1908.jpg,downloaded_images\anemone-flowers-1908.jpg
Cubism,marevna-(marie-vorobieff),portrait-of-marc-chagall-1956.jpg,downloaded_images\portrait-of-marc-chagall-1956.jpg
Art_Nouveau_Modern,felix-vallotton,french-writer-alexandre-dumas-1895.jpg,downloaded_images\french-writer-alexandre-dumas-1895.jpg
Pop_Art,andy-warhol,butterfly-hearths-andy-warhol.jpg,downloaded_images\butterfly-hearths-andy-warhol.jpg
Romanticism,eugene-delacroix,self-portrait-c-1840-oil-on-canvas-see-also-162137.jpg,downloaded_images\self-portrait-c-1840-oil-on-canvas-see-also-162137.jpg
Realism,vincent-van-gogh,fisherman-with-sou-wester-sitting-with-pipe-1883-1(1).jpg,downloaded_images\fisherman-with-sou-wester-sitting-with-pipe-1883-1(1).jpg
Post_Impressionism,vincent-van-gogh,woman-standing-1890.jpg,downloaded_images\woman-standing-1890.jpg
Pointillism,maurice-prendergast,rising-tide-st-malo.jpg,downloaded_images\rising-tide-st-malo.jpg
Expressionism,egon-schiele,sunflowers-1911-1.jpg,downloaded_images\sunflowers-1911-1.jpg
Northern_Renaissance,hieronymus-bosch,adoration-of-the-magi-1516-2.jpg,downloaded_images\adoration-of-the-magi-1516-2.jpg
Impressionism,julian-alden-weir,after-the-ride-aka-visiting-neighbors.jpg,downloaded_images\after-the-ride-aka-visiting-neighbors.jpg
Baroque,rembrandt,landscape-with-three-huts-1650.jpg,downloaded_images\landscape-with-three-huts-1650.jpg
Expressionism,max-pechstein,the-yellow-and-black-jersey-1909.jpg,downloaded_images\the-yellow-and-black-jersey-1909.jpg
Fauvism,marcel-duchamp,portrait-of-the-artist-s-father-1910.jpg,downloaded_images\portrait-of-the-artist-s-father-1910.jpg
Post_Impressionism,vincent-van-gogh,vegetable-gardens-in-montmartre-1887-1.jpg,downloaded_images\vegetable-gardens-in-montmartre-1887-1.jpg
Impressionism,octav-bancila,maci.jpg,downloaded_images\maci.jpg
Impressionism,claude-monet,rouen-cathedral-the-gate-grey-weather.jpg,downloaded_images\rouen-cathedral-the-gate-grey-weather.jpg
Symbolism,james-tissot,jesus-goes-up-alone-onto-a-mountain-to-pray-1894.jpg,downloaded_images\jesus-goes-up-alone-onto-a-mountain-to-pray-1894.jpg
Expressionism,umberto-boccioni,pianist-and-listener-1908.jpg,downloaded_images\pianist-and-listener-1908.jpg
Symbolism,konstantin-vasilyev,the-battle-with-the-dragon.jpg,downloaded_images\the-battle-with-the-dragon.jpg
Mannerism_Late_Renaissance,jacopo-pontormo,madonna-with-st-anne-st-sebastian-st-peter-st-benedict-and-st-filippus-1529.jpg,downloaded_images\madonna-with-st-anne-st-sebastian-st-peter-st-benedict-and-st-filippus-1529.jpg
Abstract_Expressionism,horia-bernea,simeze.jpg,downloaded_images\simeze.jpg
Romanticism,theodore-gericault,portrait-of-alfred-and-elizabeth-dedreux-1819.jpg,downloaded_images\portrait-of-alfred-and-elizabeth-dedreux-1819.jpg
Northern_Renaissance,bernhard-strigel,twelve-year-old-jesus-in-the-temple.jpg,downloaded_images\twelve-year-old-jesus-in-the-temple.jpg
Symbolism,theodor-severin-kittelsen,kvitebj-rn-kong-valemon-1912-2.jpg,downloaded_images\kvitebj-rn-kong-valemon-1912-2.jpg
Impressionism,philip-wilson-steer,girl-and-st-bernard-dog.jpg,downloaded_images\girl-and-st-bernard-dog.jpg
Impressionism,william-merritt-chase,prospect-park-brooklyn-1.jpg,downloaded_images\prospect-park-brooklyn-1.jpg
Early_Renaissance,fra-angelico,crucified-christ-with-the-virgin-st-john-the-evangelist-and-cardinal-juan-de-torquemada-1442.jpg,downloaded_images\crucified-christ-with-the-virgin-st-john-the-evangelist-and-cardinal-juan-de-torquemada-1442.jpg
Rococo,george-morland,the-roadside-inn-1792.jpg,downloaded_images\the-roadside-inn-1792.jpg
Expressionism,margareta-sterian,suite.jpg,downloaded_images\suite.jpg
Baroque,gabriel-metsu,the-intruder.jpg,downloaded_images\the-intruder.jpg
Symbolism,odilon-redon,silence-3.jpg,downloaded_images\silence-3.jpg
Romanticism,john-atkinson-grimshaw,the-chill-of-autumn-1881.jpg,downloaded_images\the-chill-of-autumn-1881.jpg
Minimalism,yves-gaucher,signal-1991.jpg,downloaded_images\signal-1991.jpg
Symbolism,alfred-kubin,caliban-from-the-portfolio-visions-of-shakespeare-shakespeare-visionen-1918.jpg,downloaded_images\caliban-from-the-portfolio-visions-of-shakespeare-shakespeare-visionen-1918.jpg
Baroque,rembrandt,the-artist-s-son-titus-1656.jpg,downloaded_images\the-artist-s-son-titus-1656.jpg
Realism,vladimir-makovsky,a-letter-1883.jpg,downloaded_images\a-letter-1883.jpg
Baroque,adriaen-van-de-velde,golfers-on-the-ice-near-haarlem-1668.jpg,downloaded_images\golfers-on-the-ice-near-haarlem-1668.jpg
Realism,james-tissot,uncle-fred.jpg,downloaded_images\uncle-fred.jpg
Baroque,peter-paul-rubens,the-nativity-of-the-virgin-mary.jpg,downloaded_images\the-nativity-of-the-virgin-mary.jpg
Impressionism,camille-pissarro,sunset-1872.jpg,downloaded_images\sunset-1872.jpg
Symbolism,nicholas-roerich,himalayas-ladakh.jpg,downloaded_images\himalayas-ladakh.jpg
Baroque,frans-hals,nicolaes-woutersz-van-der-meer-1631.jpg,downloaded_images\nicolaes-woutersz-van-der-meer-1631.jpg
Contemporary_Realism,lucian-freud,sleeping-nude.jpg,downloaded_images\sleeping-nude.jpg
Realism,jean-francois-millet,the-dresser-in-gruchy-1854.jpg,downloaded_images\the-dresser-in-gruchy-1854.jpg
Cubism,m.-h.-maxy,ferma.jpg,downloaded_images\ferma.jpg
Post_Impressionism,kees-van-dongen,woman-with-blue-hat-1912.jpg,downloaded_images\woman-with-blue-hat-1912.jpg
Romanticism,theodor-aman,the-feasting-boyars-taken-by-surprise-by-vlad-the-impaler-s-envoys.jpg,downloaded_images\the-feasting-boyars-taken-by-surprise-by-vlad-the-impaler-s-envoys.jpg
Post_Impressionism,pyotr-konchalovsky,forging-of-buffalo-study-1927.jpg,downloaded_images\forging-of-buffalo-study-1927.jpg
Symbolism,gulacsy-lajos,the-madman-and-the-soldier-1911.jpg,downloaded_images\the-madman-and-the-soldier-1911.jpg
Realism,ilya-repin,zaporozhets-1884.jpg,downloaded_images\zaporozhets-1884.jpg
Symbolism,nicholas-roerich,himalayas-46.jpg,downloaded_images\himalayas-46.jpg
Realism,vasily-polenov,waterfall.jpg,downloaded_images\waterfall.jpg
Realism,martiros-saryan,self-portrait-three-ages-1942.jpg,downloaded_images\self-portrait-three-ages-1942.jpg
Impressionism,joaquã­n-sorolla,ex-voto-1892.jpg,downloaded_images\ex-voto-1892.jpg
Romanticism,edward-burne-jones,three-trumpeting-angels-1869.jpg,downloaded_images\three-trumpeting-angels-1869.jpg
Romanticism,ivan-aivazovsky,yalta-the-mountains-at-night.jpg,downloaded_images\yalta-the-mountains-at-night.jpg
Romanticism,francisco-goya,the-duchess-of-alba-arranging-her-hair-1796.jpg,downloaded_images\the-duchess-of-alba-arranging-her-hair-1796.jpg
Ukiyo_e,utagawa-kuniyoshi,at-the-shore-of-the-sumida-river.jpg,downloaded_images\at-the-shore-of-the-sumida-river.jpg
Impressionism,eva-gonzales,portrait-of-a-woman-in-white.jpg,downloaded_images\portrait-of-a-woman-in-white.jpg
Impressionism,stefan-luchian,woman-worker-1893.jpg,downloaded_images\woman-worker-1893.jpg
Realism,thomas-eakins,portrait-of-henry-ossawa-tanner-1897.jpg,downloaded_images\portrait-of-henry-ossawa-tanner-1897.jpg
Romanticism,alexey-venetsianov,portret-of-a-l-venetsianova-artist-s-mother.jpg,downloaded_images\portret-of-a-l-venetsianova-artist-s-mother.jpg
Realism,ivan-kramskoy,portrait-samarin-1878.jpg,downloaded_images\portrait-samarin-1878.jpg
Realism,boris-kustodiev,ataman-platov-1924.jpg,downloaded_images\ataman-platov-1924.jpg
Realism,anders-zorn,william-h-taft-1911.jpg,downloaded_images\william-h-taft-1911.jpg
Realism,constantin-guys,la-loge-de-l-op-ra.jpg,downloaded_images\la-loge-de-l-op-ra.jpg
Impressionism,edgar-degas,the-savoy-girl-1873.jpg,downloaded_images\the-savoy-girl-1873.jpg
Realism,gustave-courbet,woods-in-the-snow.jpg,downloaded_images\woods-in-the-snow.jpg
Naive_Art_Primitivism,viorel-marginean,n-l-imi-2007.jpg,downloaded_images\n-l-imi-2007.jpg
Realism,john-singer-sargent,president-woodrow-wilson-1917.jpg,downloaded_images\president-woodrow-wilson-1917.jpg
Early_Renaissance,paolo-uccello,st-paul.jpg,downloaded_images\st-paul.jpg
Realism,boris-kustodiev,scetch-for-ostrovsky-s-wolves-and-sheep-1915.jpg,downloaded_images\scetch-for-ostrovsky-s-wolves-and-sheep-1915.jpg
Impressionism,eugene-boudin,camaret-the-toulinguet-1871.jpg,downloaded_images\camaret-the-toulinguet-1871.jpg
Abstract_Expressionism,john-hoyland,landslide-1978.jpg,downloaded_images\landslide-1978.jpg
Abstract_Expressionism,mark-tobey,komposition-rot-1972.jpg,downloaded_images\komposition-rot-1972.jpg
Realism,valentin-serov,eugene-ysaye-1903.jpg,downloaded_images\eugene-ysaye-1903.jpg
Rococo,allan-ramsay,portrait-of-jean-abercromby-mrs-morison.jpg,downloaded_images\portrait-of-jean-abercromby-mrs-morison.jpg
Romanticism,thomas-cole,campagna-di-roma-study-for-aqueduct-near-rome-1832.jpg,downloaded_images\campagna-di-roma-study-for-aqueduct-near-rome-1832.jpg
High_Renaissance,giorgione,david-with-the-head-of-goliath-1510(2).jpg,downloaded_images\david-with-the-head-of-goliath-1510(2).jpg
Realism,mary-cassatt,the-mandolin-player.jpg,downloaded_images\the-mandolin-player.jpg
Expressionism,m.c.-escher,not/detected/204713.jpg,downloaded_images\not/detected/204713.jpg
Impressionism,nutzi-acontz,dobrujan-street.jpg,downloaded_images\dobrujan-street.jpg
Impressionism,alfred-sisley,morning-in-june-saint-mammes-et-les-coteaux-de-la-celle-1884.jpg,downloaded_images\morning-in-june-saint-mammes-et-les-coteaux-de-la-celle-1884.jpg
Realism,ilya-repin,sermon-of-josaphat-kuntsevich-in-belarus-1893.jpg,downloaded_images\sermon-of-josaphat-kuntsevich-in-belarus-1893.jpg
Post_Impressionism,henri-de-toulouse-lautrec,the-two-girlfriends-1894.jpg,downloaded_images\the-two-girlfriends-1894.jpg
Realism,winslow-homer,long-branch-new-jersey.jpg,downloaded_images\long-branch-new-jersey.jpg
Baroque,anthony-van-dyck,emperor-charles-v-on-horseback-1620.jpg,downloaded_images\emperor-charles-v-on-horseback-1620.jpg
